,‰·“x,Ž¼“x
2016/1/22 19:51,25.352,32.743
2016/1/22 19:52,25.2985,32.469997
2016/1/22 19:53,25.252502,32.491493
2016/1/22 19:54,25.265001,32.391006
2016/1/22 19:55,25.2325,32.655495
2016/1/22 19:56,25.249475,32.520523
2016/1/22 19:57,25.275997,32.146
2016/1/22 19:58,25.271,32.055
2016/1/22 19:59,25.241503,31.985004
2016/1/22 20:00,25.2345,31.845001
2016/1/22 20:01,25.203684,31.887367
2016/1/22 20:02,25.214504,31.885004
2016/1/22 20:03,25.138498,31.840002
2016/1/22 20:04,25.132,31.840002
2016/1/22 20:05,25.110498,31.809998
2016/1/22 20:06,25.074736,31.87684
2016/1/22 20:07,25.1285,31.930002
2016/1/22 20:08,25.178503,31.855001
2016/1/22 20:09,25.199503,31.850002
2016/1/22 20:10,25.233997,31.794994
2016/1/22 20:11,25.206501,31.739996
2016/1/22 20:12,25.134737,31.739996
2016/1/22 20:13,25.068499,31.76
2016/1/22 20:14,25.088495,31.835003
2016/1/22 20:15,25.110998,31.840002
2016/1/22 20:16,25.113,31.954998
2016/1/22 20:17,25.143164,32.003162
2016/1/22 20:18,25.130503,31.939999
2016/1/22 20:19,25.1385,31.920004
2016/1/22 20:20,25.142498,31.845001
2016/1/22 20:21,25.156502,31.939999
2016/1/22 20:22,25.1545,31.860004
2016/1/22 20:23,25.157896,31.871582
2016/1/22 20:24,25.163504,31.840002
2016/1/22 20:25,25.159,31.840002
2016/1/22 20:26,25.153002,31.840002
2016/1/22 20:27,25.159002,31.855005
2016/1/22 20:28,25.137365,31.876844
2016/1/22 20:29,25.097498,31.930002
2016/1/22 20:30,25.065998,31.939999
2016/1/22 20:31,25.0265,31.935001
2016/1/22 20:32,25.019001,31.939001
2016/1/22 20:33,24.964998,31.930996
2016/1/22 20:34,24.959997,32.015263
2016/1/22 20:35,24.965,32.02
2016/1/22 20:36,24.9585,32.025
2016/1/22 20:37,25.0005,32.096992
2016/1/22 20:38,25.02,32.04
2016/1/22 20:39,25.036844,32.04
2016/1/22 20:40,25.0415,32.04
2016/1/22 20:41,25.0285,32.04
2016/1/22 20:42,25.012001,32.031006
2016/1/22 20:43,25.001,32.023994
2016/1/22 20:44,24.969997,32.022106
2016/1/22 20:45,24.955997,32.07
2016/1/22 20:46,24.932505,32.079998
2016/1/22 20:47,24.955997,32.12
2016/1/22 20:48,24.959997,32.095
2016/1/22 20:49,24.9005,32.094997
2016/1/22 20:50,24.829472,32.19579
2016/1/22 20:51,24.854002,32.22
2016/1/22 20:52,24.8505,32.21
2016/1/22 20:53,24.882,32.21
2016/1/22 20:54,24.8845,32.187492
2016/1/22 20:55,24.87263,32.14842
2016/1/22 20:56,24.882,32.1605
2016/1/22 20:57,24.907001,32.133495
2016/1/22 20:58,24.914997,32.12
2016/1/22 20:59,24.912,32.12
2016/1/22 21:00,24.888,32.12
2016/1/22 21:01,24.887371,32.12
2016/1/22 21:02,24.8475,32.138004
2016/1/22 21:03,24.798498,32.21
2016/1/22 21:04,24.849503,32.234993
2016/1/22 21:05,24.855503,32.305
2016/1/22 21:06,24.871576,32.21
2016/1/22 21:07,24.893503,32.160496
